,Civilité,Year,Type,section,Nationalité,ISO_code
1717,Mister,2009-2010,Bachelor,Physics,Swiss,
1718,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1719,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1720,Mister,2009-2010,Bachelor,Architecture,Swiss,
1721,Miss,2009-2010,Bachelor,Architecture,Swiss,
1722,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1723,Mister,2009-2010,Bachelor,Communication Systems,French,
1724,Mister,2009-2010,Bachelor,Architecture,Swiss,
1725,Mister,2009-2010,Bachelor,Computer Science,Swiss,
1726,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1727,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,French,
1728,Mister,2009-2010,Bachelor,Communication Systems,French,
1729,Mister,2009-2010,Bachelor,Civil Engineering,French,
1730,Mister,2009-2010,Bachelor,Civil Engineering,French,
1731,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,French,
1732,Mister,2009-2010,Bachelor,Civil Engineering,French,
1733,Miss,2009-2010,Bachelor,Architecture,French,
1734,Miss,2009-2010,Bachelor,Mechanical Engineering,French,
1735,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1736,Mister,2009-2010,Bachelor,Materials Science and Engineering,Bolivian,
1737,Mister,2009-2010,Bachelor,Microengineering,French,
1738,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,French,
1739,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Austrian,
1740,Mister,2009-2010,Bachelor,Life Sciences and Technologies,French,
1741,Mister,2009-2010,Bachelor,Architecture,French,
1742,Mister,2009-2010,Bachelor,Civil Engineering,French,
1743,Mister,2009-2010,Bachelor,Architecture,French,
1744,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1745,Mister,2009-2010,Bachelor,Materials Science and Engineering,Swiss,
1746,Mister,2009-2010,Bachelor,Communication Systems,Tunisian,
1747,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
1748,Mister,2009-2010,Bachelor,Architecture,Swiss,
1749,Mister,2009-2010,Bachelor,Physics,Swiss,
1750,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1751,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
1752,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1753,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1754,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
1755,Mister,2009-2010,Bachelor,Architecture,Swiss,
1756,Mister,2009-2010,Bachelor,Computer Science,Swiss,
1757,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
1758,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1759,Miss,2009-2010,Bachelor,Mathematics,Swiss,
1760,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
1761,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Spanish,
1762,Mister,2009-2010,Bachelor,Communication Systems,Tunisian,
1763,Mister,2009-2010,Bachelor,Computer Science,Swiss,
1764,Mister,2009-2010,Bachelor,Materials Science and Engineering,French,
1765,Mister,2009-2010,Bachelor,Life Sciences and Technologies,French,
1766,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1767,Mister,2009-2010,Bachelor,Computer Science,French,
1768,Miss,2009-2010,Bachelor,Architecture,Swiss,
1769,Mister,2009-2010,Bachelor,Computer Science,Swiss,
1770,Mister,2009-2010,Bachelor,Microengineering,French,
1771,Mister,2009-2010,Bachelor,Physics,Swiss,
1772,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1773,Miss,2009-2010,Bachelor,Life Sciences and Technologies,French,
1774,Mister,2009-2010,Bachelor,Architecture,Swiss,
1775,Mister,2009-2010,Bachelor,Physics,Swiss,
1776,Mister,2009-2010,Bachelor,Physics,Thai,
1777,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1778,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
1779,Mister,2009-2010,Bachelor,Computer Science,Swiss,
1780,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1781,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1782,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Austrian,
1783,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1784,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1785,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,French,
1786,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1787,Mister,2009-2010,Bachelor,Mechanical Engineering,Moroccan,
1788,Mister,2009-2010,Bachelor,Architecture,Swiss,
1789,Mister,2009-2010,Bachelor,Physics,French,
1790,Mister,2009-2010,Bachelor,Physics,Swiss,
1791,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
1792,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
1793,Miss,2009-2010,Bachelor,Architecture,Swiss,
1794,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1795,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1796,Miss,2009-2010,Bachelor,Microengineering,Swiss,
1797,Mister,2009-2010,Bachelor,Physics,French,
1798,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,French,
1799,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1800,Mister,2009-2010,Bachelor,Physics,German,
1801,Mister,2009-2010,Bachelor,Mechanical Engineering,Lebanese,
1802,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
1803,Miss,2009-2010,Bachelor,Architecture,Swiss,
1804,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1805,Miss,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1806,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
1807,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1808,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1809,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1810,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1811,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
1812,Mister,2009-2010,Bachelor,Computer Science,Swiss,
1813,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1814,Miss,2009-2010,Bachelor,Mathematics,Swiss,
1815,Mister,2009-2010,Bachelor,Physics,Swiss,
1816,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
1817,Mister,2009-2010,Bachelor,Mathematics,Swiss,
1818,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1819,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1820,Mister,2009-2010,Bachelor,Physics,Swiss,
1821,Miss,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
1822,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1823,Mister,2009-2010,Bachelor,Mathematics,Swiss,
1824,Miss,2009-2010,Bachelor,Computer Science,Swiss,
1825,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1826,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1827,Miss,2009-2010,Master,Civil Engineering,German,
1828,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1829,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1830,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1831,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1832,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
1833,Mister,2009-2010,Bachelor,Architecture,Swiss,
1834,Mister,2009-2010,Bachelor,Architecture,French,
1835,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
1836,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1837,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1838,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1839,Mister,2009-2010,Bachelor,Microengineering,Russian,
1840,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1841,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
1842,Miss,2009-2010,Bachelor,Mathematics,Swiss,
1843,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1844,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1845,Miss,2009-2010,Bachelor,Microengineering,Swiss,
1846,Miss,2009-2010,Bachelor,Architecture,French,
1847,Mister,2009-2010,Bachelor,Physics,Swiss,
1848,Mister,2009-2010,Bachelor,Computer Science,Swiss,
1849,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1850,Mister,2009-2010,Bachelor,Computer Science,Moroccan,
1851,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1852,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1853,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
1854,Miss,2009-2010,Bachelor,Architecture,Swiss,
1855,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Spanish,
1856,Mister,2009-2010,Bachelor,Communication Systems,French,
1857,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1858,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1859,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
1860,Miss,2009-2010,Bachelor,Physics,Swiss,
1861,Mister,2009-2010,Bachelor,Microengineering,French,
1862,Mister,2009-2010,Bachelor,Materials Science and Engineering,Swiss,
1863,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,French,
1864,Miss,2009-2010,Bachelor,Architecture,French,
1865,Mister,2009-2010,Bachelor,Microengineering,French,
1866,Miss,2009-2010,Bachelor,Mathematics,French,
1867,Miss,2009-2010,Bachelor,Architecture,Italian,
1868,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1869,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1870,Mister,2009-2010,Bachelor,Physics,Swiss,
1871,Miss,2009-2010,Bachelor,Architecture,Swiss,
1872,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,French,
1873,Mister,2009-2010,Bachelor,Architecture,Italian,
1874,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1875,Miss,2009-2010,Bachelor,Computer Science,Swiss,
1876,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1877,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1878,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
1879,Mister,2009-2010,Bachelor,Mathematics,French,
1880,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1881,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1882,Mister,2009-2010,Bachelor,Materials Science and Engineering,Swiss,
1883,Miss,2009-2010,Bachelor,Architecture,Swiss,
1884,Mister,2009-2010,Bachelor,Architecture,Swiss,
1885,Mister,2009-2010,Bachelor,Mathematics,Swiss,
1886,Mister,2009-2010,Bachelor,Computer Science,Dutch,
1887,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
1888,Mister,2009-2010,Bachelor,Mathematics,Swiss,
1889,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1890,Mister,2009-2010,Bachelor,Architecture,Swiss,
1891,Miss,2009-2010,Bachelor,Architecture,Swiss,
1892,Mister,2009-2010,Bachelor,Materials Science and Engineering,German,
1893,Mister,2009-2010,Bachelor,Mechanical Engineering,Tunisian,
1894,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1895,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1896,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1897,Miss,2009-2010,Bachelor,Civil Engineering,Moroccan,
1898,Mister,2009-2010,Bachelor,Architecture,Spanish,
1899,Miss,2009-2010,Bachelor,Physics,Swiss,
1900,Mister,2009-2010,Bachelor,Computer Science,Lebanese,
1901,Mister,2009-2010,Master,Electrical and Electronics Engineering,Spanish,
1902,Miss,2009-2010,Bachelor,Architecture,Swiss,
1903,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,Moroccan,
1904,Mister,2009-2010,Bachelor,Mathematics,Swiss,
1905,Miss,2009-2010,Bachelor,Physics,French,
1906,Mister,2009-2010,Master,Architecture,French,
1907,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1908,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
1909,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1910,Miss,2009-2010,Bachelor,Life Sciences and Technologies,luxembourgish,
1911,Mister,2009-2010,Bachelor,Architecture,French,
1912,Miss,2009-2010,Bachelor,Mechanical Engineering,Peruvian,
1913,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1914,Miss,2009-2010,Bachelor,Architecture,Belgian,
1915,Mister,2009-2010,Bachelor,Computer Science,French,
1916,Mister,2009-2010,Master,Communication Systems,Iranian,
1917,Miss,2009-2010,Bachelor,Mechanical Engineering,Iranian,
1918,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1919,Mister,2009-2010,Bachelor,Computer Science,Swiss,
1920,Mister,2009-2010,Bachelor,Architecture,French,
1921,Mister,2009-2010,Bachelor,Materials Science and Engineering,French,
1922,Mister,2009-2010,Bachelor,Architecture,French,
1923,Mister,2009-2010,Bachelor,Materials Science and Engineering,French,
1924,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,French,
1925,Mister,2009-2010,Bachelor,Civil Engineering,Greek,
1926,Miss,2009-2010,Bachelor,Physics,French,
1927,Miss,2009-2010,Bachelor,Architecture,French,
1928,Mister,2009-2010,Bachelor,Architecture,French,
1929,Miss,2009-2010,Bachelor,Architecture,French,
1930,Miss,2009-2010,Bachelor,Physics,Swiss,
1931,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1932,Miss,2009-2010,Bachelor,Life Sciences and Technologies,French,
1933,Mister,2009-2010,Bachelor,Physics,Swiss,
1934,Mister,2009-2010,Bachelor,Microengineering,Swiss,
1935,Miss,2009-2010,Bachelor,Materials Science and Engineering,French,
1936,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Italian,
1937,Mister,2009-2010,Bachelor,Civil Engineering,French,
1938,Mister,2009-2010,Bachelor,Materials Science and Engineering,French,
1939,Mister,2009-2010,Bachelor,Computer Science,German,
1940,Mister,2009-2010,Bachelor,Mechanical Engineering,Moroccan,
1941,Mister,2009-2010,Bachelor,Architecture,Moroccan,
1942,Miss,2009-2010,Bachelor,Architecture,Iranian,
1943,Miss,2009-2010,Bachelor,Civil Engineering,Swiss,
1944,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1945,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1946,Mister,2009-2010,Bachelor,Computer Science,French,
1947,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Tunisian,
1948,Mister,2009-2010,Bachelor,Mathematics,luxembourgish,
1949,Mister,2009-2010,Bachelor,Microengineering,Iranian,
1950,Miss,2009-2010,Bachelor,Architecture,French,
1951,Mister,2009-2010,Bachelor,Physics,Swiss,
1952,Mister,2009-2010,Bachelor,Physics,Swiss,
1953,Mister,2009-2010,Bachelor,Physics,French,
1954,Mister,2009-2010,Bachelor,Mathematics,French,
1955,Mister,2009-2010,Bachelor,Communication Systems,Tunisian,
1956,Mister,2009-2010,Bachelor,Mathematics,French,
1957,Miss,2009-2010,Bachelor,Life Sciences and Technologies,German,
1958,Mister,2009-2010,Bachelor,Mechanical Engineering,French,
1959,Mister,2009-2010,Bachelor,Computer Science,French,
1960,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1961,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,French,
1962,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1963,Mister,2009-2010,Bachelor,Physics,Swiss,
1964,Miss,2009-2010,Bachelor,Architecture,Swiss,
1965,Mister,2009-2010,Bachelor,Architecture,Swiss,
1966,Mister,2009-2010,Bachelor,Mechanical Engineering,Tunisian,
1967,Mister,2009-2010,Bachelor,Civil Engineering,Moroccan,
1968,Mister,2009-2010,Bachelor,Microengineering,French,
1969,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1970,Mister,2009-2010,Bachelor,Mathematics,ivoirienne,
1971,Mister,2009-2010,Bachelor,Materials Science and Engineering,Swiss,
1972,Mister,2009-2010,Bachelor,Architecture,Swiss,
1973,Mister,2009-2010,Bachelor,Computer Science,French,
1974,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
1975,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
1976,Mister,2009-2010,Bachelor,Microengineering,German,
1977,Miss,2009-2010,Bachelor,Life Sciences and Technologies,French,
1978,Mister,2009-2010,Bachelor,Microengineering,French,
1979,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
1980,Mister,2009-2010,Bachelor,Computer Science,Swiss,
1981,Miss,2009-2010,Bachelor,Microengineering,Swiss,
1982,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Russian,
1983,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
1984,Mister,2009-2010,Bachelor,Architecture,Swiss,
1985,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
1986,Miss,2009-2010,Bachelor,Mathematics,Swiss,
1987,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1988,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
1989,Mister,2009-2010,Bachelor,Civil Engineering,French,
1990,Mister,2009-2010,Bachelor,Microengineering,Chinese,
1991,Miss,2009-2010,Bachelor,Civil Engineering,Moroccan,
1992,Mister,2009-2010,Bachelor,Civil Engineering,luxembourgish,
1993,Mister,2009-2010,Bachelor,Computer Science,Chinese,
1994,Miss,2009-2010,Bachelor,Architecture,Chinese,
1995,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
1996,Miss,2009-2010,Bachelor,Mathematics,Swiss,
1997,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
1998,Miss,2009-2010,Bachelor,Physics,Swiss,
1999,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2000,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
2001,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
2002,Mister,2009-2010,Bachelor,Physics,Swiss,
2003,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2004,Mister,2009-2010,Bachelor,Physics,Swiss,
2005,Mister,2009-2010,Bachelor,Microengineering,Dutch,
2006,Miss,2009-2010,Bachelor,Architecture,Swiss,
2007,Miss,2009-2010,Bachelor,Architecture,Swiss,
2008,Mister,2009-2010,Bachelor,Computer Science,Swiss,
2009,Mister,2009-2010,Bachelor,Architecture,Swiss,
2010,Miss,2009-2010,Bachelor,Materials Science and Engineering,Swiss,
2011,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2012,Mister,2009-2010,Bachelor,Physics,Swiss,
2013,Mister,2009-2010,Bachelor,Architecture,Swiss,
2014,Mister,2009-2010,Bachelor,Computer Science,Portuguese,
2015,Mister,2009-2010,Bachelor,Civil Engineering,Spanish,
2016,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2017,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2018,Mister,2009-2010,Bachelor,Architecture,Dutch,
2019,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
2020,Mister,2009-2010,Bachelor,Mathematics,Swiss,
2021,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2022,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2023,Miss,2009-2010,Bachelor,Architecture,Swiss,
2024,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2025,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
2026,Miss,2009-2010,Bachelor,Physics,Swiss,
2027,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2028,Mister,2009-2010,Bachelor,Architecture,Swiss,
2029,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
2030,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2031,Mister,2009-2010,Bachelor,Computer Science,Swiss,
2032,Mister,2009-2010,Bachelor,Architecture,Swiss,
2033,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2034,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2035,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2036,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2037,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
2038,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Italian,
2039,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2040,Mister,2009-2010,Bachelor,Microengineering,Portuguese,
2041,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
2042,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
2043,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2044,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2045,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2046,Mister,2009-2010,Bachelor,Architecture,French,
2047,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Spanish,
2048,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
2049,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2050,Mister,2009-2010,Bachelor,Computer Science,Portuguese,
2051,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
2052,Mister,2009-2010,Bachelor,Physics,Swiss,
2053,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2054,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2055,Mister,2009-2010,Bachelor,Architecture,Greek,
2056,Miss,2009-2010,Bachelor,Architecture,Swiss,
2057,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2058,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2059,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
2060,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
2061,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2062,Miss,2009-2010,Bachelor,Civil Engineering,Swiss,
2063,Mister,2009-2010,Bachelor,Computer Science,Swiss,
2064,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
2065,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2066,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2067,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
2068,Mister,2009-2010,Bachelor,Computer Science,Brazilian,
2069,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2070,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2071,Miss,2009-2010,Bachelor,Architecture,Swiss,
2072,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2073,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2074,Mister,2009-2010,Bachelor,Computer Science,Swiss,
2075,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2076,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2077,Miss,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
2078,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2079,Mister,2009-2010,Bachelor,Architecture,Swiss,
2080,Mister,2009-2010,Bachelor,Microengineering,Portuguese,
2081,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2082,Miss,2009-2010,Bachelor,Civil Engineering,Swiss,
2083,Mister,2009-2010,Bachelor,Civil Engineering,Portuguese,
2084,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2085,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
2086,Mister,2009-2010,Bachelor,Computer Science,Swiss,
2087,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
2088,Mister,2009-2010,Bachelor,Architecture,kosovar,
2089,Mister,2009-2010,Bachelor,Mathematics,Swiss,
2090,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
2091,Mister,2009-2010,Bachelor,Architecture,Swiss,
2092,Mister,2009-2010,Bachelor,Microengineering,Austrian,
2093,Mister,2009-2010,Bachelor,Mathematics,Swiss,
2094,Mister,2009-2010,Bachelor,Architecture,Swiss,
2095,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
2096,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
2097,Miss,2009-2010,Bachelor,Architecture,Swiss,
2098,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
2099,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2100,Mister,2009-2010,Bachelor,Physics,Swiss,
2101,Miss,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2102,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2103,Miss,2009-2010,Bachelor,Architecture,Swiss,
2104,Miss,2009-2010,Bachelor,Architecture,French,
2105,Mister,2009-2010,Bachelor,Architecture,Swiss,
2106,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,British,
2107,Miss,2009-2010,Bachelor,Mathematics,Swiss,
2108,Mister,2009-2010,Bachelor,Materials Science and Engineering,German,
2109,Mister,2009-2010,Bachelor,Physics,Swiss,
2110,Mister,2009-2010,Bachelor,Computer Science,Swiss,
2111,Mister,2009-2010,Bachelor,Architecture,Swiss,
2112,Mister,2009-2010,Bachelor,Electrical and Electronics Engineering,Swiss,
2113,Mister,2009-2010,Bachelor,Computer Science,Swiss,
2114,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
2115,Miss,2009-2010,Bachelor,Mathematics,Swiss,
2116,Mister,2009-2010,Bachelor,Computer Science,Swiss,
2117,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2118,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
2119,Miss,2009-2010,Bachelor,Architecture,Swiss,
2120,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
2121,Mister,2009-2010,Bachelor,Mechanical Engineering,German,
2122,Mister,2009-2010,Bachelor,Computer Science,Swiss,
2123,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2124,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2125,Mister,2009-2010,Bachelor,Architecture,French,
2126,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
2127,Miss,2009-2010,Master,Molecular & Biological Chemistry,Swiss,
2128,Mister,2009-2010,Bachelor,Mathematics,Tunisian,
2129,Mister,2009-2010,Bachelor,Civil Engineering,French,
2130,Miss,2009-2010,Bachelor,Life Sciences and Technologies,French,
2131,Mister,2009-2010,Bachelor,Microengineering,Swiss,
2132,Mister,2009-2010,Bachelor,Communication Systems,Portuguese,
2133,Miss,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
2134,Miss,2009-2010,Bachelor,Mathematics,French,
2135,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
2136,Mister,2009-2010,Bachelor,Microengineering,French,
2137,Mister,2009-2010,Bachelor,Physics,Swiss,
2138,Miss,2009-2010,Bachelor,Civil Engineering,Spanish,
2139,Mister,2009-2010,Bachelor,Architecture,French,
2140,Mister,2009-2010,Master,Electrical and Electronics Engineering,Brazilian,
