,Civilité,Year,Type,section,Nationalité,ISO_code
110,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
111,Miss,2009-2010,Master,Architecture,Swiss,
112,Miss,2009-2010,Master,Computer Science,Israeli,
113,Miss,2009-2010,Master,Architecture,German,
114,Mister,2009-2010,Master,Bioengineering,Swiss,
115,Mister,2009-2010,Master,Computer Science,Swiss,
116,Miss,2009-2010,Master,Civil Engineering,Swiss,
117,Mister,2009-2010,Master,Architecture,Swiss,
118,Miss,2009-2010,Master,Architecture,Swiss,
119,Mister,2009-2010,Bachelor,Computer Science,Moroccan,
120,Mister,2009-2010,Master,Computer Science,Spanish,
121,Mister,2009-2010,Master,Computer Science,Swiss,
122,Mister,2009-2010,Master,Architecture,French,
123,Mister,2009-2010,Master,Architecture,Swiss,
124,Mister,2009-2010,Master,Communication Systems,Swiss,
125,Miss,2009-2010,Master,Architecture,Swiss,
126,Mister,2009-2010,Master,Architecture,Swiss,
127,Mister,2009-2010,Master,Microengineering,Swiss,
128,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
129,Mister,2009-2010,Bachelor,Architecture,Swiss,
130,Mister,2009-2010,Master,Architecture,Swiss,
131,Mister,2009-2010,Master,Communication Systems,ivoirienne,
132,Mister,2009-2010,Master,Computer Science,Turkish,
133,Miss,2009-2010,Master,Architecture,Swiss,
134,Mister,2009-2010,Master,Molecular & Biological Chemistry,Swiss,
135,Mister,2009-2010,Bachelor,Computer Science,Cameroonian,
136,Mister,2009-2010,Passerelle HES,Passerelle HES,Cameroonian,
137,Mister,2009-2010,Passerelle HES,Passerelle HES,Cameroonian,
138,Mister,2009-2010,Master,Architecture,French,
139,Mister,2009-2010,Master,Architecture,Swiss,
140,Miss,2009-2010,Master,Communication Systems,Chinese,
141,Miss,2009-2010,Master,Civil Engineering,Chinese,
142,Miss,2009-2010,Master,Architecture,Swiss,
143,Mister,2009-2010,Bachelor,Architecture,Swiss,
144,Mister,2009-2010,Master,Architecture,Swiss,
145,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Spanish,
146,Miss,2009-2010,Master,Environmental Sciences and Engineering,Spanish,
147,Miss,2009-2010,Master,Architecture,Swiss,
148,Mister,2009-2010,Master,Microengineering,Swiss,
149,Mister,2009-2010,Master,Architecture,Swiss,
150,Miss,2009-2010,Master,Architecture,Swiss,
151,Miss,2009-2010,Master,Life Sciences and Technologies,Swiss,
152,Mister,2009-2010,Master,Management,Swiss,
153,Mister,2009-2010,Master,Architecture,Swiss,
